Municipio,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020
Bacalar,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Benito Juárez,23,24,27,29,30,32,35,38,45,49,58,75,92,100,111,114,156
Cozumel,0,0,0,1,1,1,1,2,4,4,5,5,5,5,5,5,6
Felipe Carillo Puerto,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Isla Mujeres,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
José María Morelos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lázaro Cárdenas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Othón P. Blanco,1,1,1,1,1,1,1,1,2,3,3,3,3,3,4,5,5
Puerto Morelos,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Solidaridad,4,7,8,8,9,9,10,11,13,14,15,28,31,31,32,32,41
Tulum,0,0,0,2,2,2,2,2,2,2,2,3,3,3,3,3,4
